Part ID,Value,Package,Layer,Rotation,X,Y
FUENTE,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,11.6981
RST,BOTON 90 TH,118250272,TOP,0,46.9501,5.66001
PRG,,BUTTON SMD,TOP,90,71.2,5.49999
WI FI,,118250272,TOP,0,60.7101,5.66999
DEEP SLEEP,,BUTTON SMD,TOP,90,80.4901,5.46001
LED MQTT,TBLOCK-M2,TBLOCK-M2,TOP,0,52.2018,76.0001
LED WI-FI,TBLOCK-M2,TBLOCK-M2,TOP,0,40.9981,76.0001
D1,1N4148W,SOD123,TOP,90,1.5,3.79999
D2,1N4148W,SOD123,TOP,0,13.9455,7.80001
USBTC1,USB TIPO C EG,MOLEX_2047110001,TOP,0,8.60001,3.35001
ENTRADAS,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,40.5981
J1,TBLOCK-M3,TBLOCK-M3,TOP,90,6.70001,27.5999
RELAY4,12 Vcc. 10 Amp,117211503,TOP,0,90.7001,21.7
D04,1n4007 Smd Do-214,SOD2614X116,BOT,0,73.0001,65.5
MOSFET,TBLOCK-M3,TBLOCK-M3,TOP,180,110,4.79999
Q04,LED smd 0603,LEDC2012X120,TOP,0,106.8,44.9999
R7,1K,0603_RES,TOP,0,106.736,47.9999
